transaction,label
Swiggy 250,Food
Uber 300,Travel
Big Bazaar 500,Grocery
Zomato 350,Food
Amazon 1200,Shopping
Netflix 499,Entertainment
Shell Petrol 1500,Travel
Paytm Recharge 200,Utilities
Starbucks 400,Food
Flipkart 1800,Shopping
OLA 220,Travel
Dominos 350,Food
HDFC Credit Card 5000,Bills
Electricity Bill 1200,Utilities
Grocery Store 800,Grocery
Bookstore 450,Education
Cinema Tickets 600,Entertainment
Bus Ticket 100,Travel
Medical Store 300,Health
Pharmacy 400,Health
Myntra 1500,Shopping
Coffee Shop 250,Food
Groceries 700,Grocery
Online Course 1200,Education
Taxi 350,Travel
Restaurant 900,Food
Internet Bill 800,Utilities
Stationery 300,Education
Petrol Pump 1200,Travel
Clothing Store 2000,Shopping
Gift Shop 500,Shopping
Gym Membership 1200,Health
Paytm Wallet 1000,Other
Recharge 150,Utilities
Uber Eats 350,Food
Water Bill 400,Utilities
Hotel 3500,Travel
Spa 1000,Health
Movie Streaming 500,Entertainment
